Timestamp_Run,W_Hours,H_Hours,ROC_AUC,PR_AUC,Max_F1,Optimal_Threshold,Precision_at_Max_F1,Recall_at_Max_F1,Bayes_F1,Bayes_Precision,Bayes_Recall
2025-04-10 22:35:11,6,12,0.9475,0.7735,0.757,0.5305,0.6843,0.8471,0.5479,0.7979,0.4172
2025-04-10 22:35:11,6,12,0.9475,0.7735,0.757,0.5305,0.6843,0.8471,0.5479,0.7979,0.4172
2025-04-10 22:41:05,6,24,0.9671,0.9254,0.873,0.4065,0.8311,0.9193,0.7321,0.8953,0.6192
2025-04-10 22:41:05,6,24,0.9671,0.9254,0.873,0.4065,0.8311,0.9193,0.7321,0.8953,0.6192
2025-04-10 22:46:58,6,36,0.9684,0.9603,0.9256,0.2008,0.907,0.9449,0.8135,0.9517,0.7104
2025-04-10 22:46:58,6,36,0.9684,0.9603,0.9256,0.2008,0.907,0.9449,0.8135,0.9517,0.7104
2025-04-10 22:52:52,6,48,0.9584,0.9609,0.9354,0.227,0.951,0.9203,0.8498,0.9748,0.7532
2025-04-10 22:52:52,6,48,0.9584,0.9609,0.9354,0.227,0.951,0.9203,0.8498,0.9748,0.7532
2025-04-10 22:58:46,6,60,0.9461,0.9567,0.9285,0.2783,0.9774,0.8842,0.8525,0.9879,0.7497
2025-04-10 22:58:46,6,60,0.9461,0.9567,0.9285,0.2783,0.9774,0.8842,0.8525,0.9879,0.7497
2025-04-10 23:04:39,6,72,0.9273,0.945,0.9095,0.3647,0.9876,0.8429,0.8368,0.9903,0.7246
2025-04-10 23:04:39,6,72,0.9273,0.945,0.9095,0.3647,0.9876,0.8429,0.8368,0.9903,0.7246
2025-04-10 23:10:34,6,84,0.9097,0.9349,0.8873,0.3548,0.9892,0.8044,0.8162,0.9912,0.6937
2025-04-10 23:10:34,6,84,0.9097,0.9349,0.8873,0.3548,0.9892,0.8044,0.8162,0.9912,0.6937
2025-04-10 23:16:28,6,96,0.8859,0.9221,0.8645,0.4082,0.9902,0.7671,0.7951,0.9895,0.6645
2025-04-10 23:16:28,6,96,0.8859,0.9221,0.8645,0.4082,0.9902,0.7671,0.7951,0.9895,0.6645
2025-04-10 23:22:20,9,12,0.9522,0.7839,0.7629,0.4467,0.6703,0.8852,0.5431,0.818,0.4065
2025-04-10 23:22:20,9,12,0.9522,0.7839,0.7629,0.4467,0.6703,0.8852,0.5431,0.818,0.4065
2025-04-10 23:28:12,9,24,0.9685,0.9275,0.8767,0.4081,0.8351,0.9226,0.7329,0.8951,0.6205
2025-04-10 23:28:12,9,24,0.9685,0.9275,0.8767,0.4081,0.8351,0.9226,0.7329,0.8951,0.6205
2025-04-10 23:34:11,9,36,0.9711,0.9634,0.9271,0.1539,0.9041,0.9514,0.8169,0.9497,0.7167
2025-04-10 23:34:11,9,36,0.9711,0.9634,0.9271,0.1539,0.9041,0.9514,0.8169,0.9497,0.7167
2025-04-10 23:40:07,9,48,0.961,0.9628,0.9388,0.1149,0.947,0.9307,0.8523,0.9731,0.7581
2025-04-10 23:40:07,9,48,0.961,0.9628,0.9388,0.1149,0.947,0.9307,0.8523,0.9731,0.7581
2025-04-10 23:46:04,9,60,0.9479,0.9582,0.9318,0.2552,0.9766,0.8909,0.8564,0.9865,0.7565
2025-04-10 23:46:04,9,60,0.9479,0.9582,0.9318,0.2552,0.9766,0.8909,0.8564,0.9865,0.7565
2025-04-10 23:51:58,9,72,0.9308,0.9478,0.914,0.2844,0.9885,0.85,0.8434,0.9895,0.7349
2025-04-10 23:51:58,9,72,0.9308,0.9478,0.914,0.2844,0.9885,0.85,0.8434,0.9895,0.7349
2025-04-10 23:57:54,9,84,0.9112,0.9365,0.8923,0.3463,0.9917,0.8109,0.824,0.99,0.7057
2025-04-10 23:57:54,9,84,0.9112,0.9365,0.8923,0.3463,0.9917,0.8109,0.824,0.99,0.7057
2025-04-11 00:03:51,9,96,0.8869,0.9238,0.8684,0.3415,0.9898,0.7736,0.803,0.99,0.6754
2025-04-11 00:03:51,9,96,0.8869,0.9238,0.8684,0.3415,0.9898,0.7736,0.803,0.99,0.6754
2025-04-11 00:09:46,12,12,0.9532,0.791,0.7669,0.4912,0.686,0.8694,0.5372,0.8157,0.4004
2025-04-11 00:09:46,12,12,0.9532,0.791,0.7669,0.4912,0.686,0.8694,0.5372,0.8157,0.4004
2025-04-11 00:15:42,12,24,0.9707,0.9283,0.8824,0.3881,0.8344,0.9362,0.7416,0.8926,0.6344
2025-04-11 00:15:42,12,24,0.9707,0.9283,0.8824,0.3881,0.8344,0.9362,0.7416,0.8926,0.6344
2025-04-11 00:21:37,12,36,0.9728,0.9647,0.9279,0.2155,0.9074,0.9493,0.823,0.9473,0.7275
2025-04-11 00:21:37,12,36,0.9728,0.9647,0.9279,0.2155,0.9074,0.9493,0.823,0.9473,0.7275
2025-04-11 00:27:34,12,48,0.9654,0.9659,0.9393,0.1442,0.9444,0.9344,0.8526,0.9707,0.7601
2025-04-11 00:27:34,12,48,0.9654,0.9659,0.9393,0.1442,0.9444,0.9344,0.8526,0.9707,0.7601
2025-04-11 00:33:28,12,60,0.9536,0.9623,0.9338,0.1887,0.9732,0.8975,0.8597,0.984,0.7632
2025-04-11 00:33:28,12,60,0.9536,0.9623,0.9338,0.1887,0.9732,0.8975,0.8597,0.984,0.7632
2025-04-11 00:39:22,12,72,0.9342,0.9502,0.9162,0.2363,0.9846,0.8567,0.8466,0.9865,0.7414
2025-04-11 00:39:22,12,72,0.9342,0.9502,0.9162,0.2363,0.9846,0.8567,0.8466,0.9865,0.7414
2025-04-11 00:45:15,12,84,0.9125,0.9374,0.8952,0.3071,0.9896,0.8173,0.8284,0.9892,0.7125
2025-04-11 00:45:15,12,84,0.9125,0.9374,0.8952,0.3071,0.9896,0.8173,0.8284,0.9892,0.7125
2025-04-11 00:51:07,12,96,0.8918,0.9263,0.8716,0.4441,0.9908,0.778,0.8083,0.9901,0.6829
2025-04-11 00:51:07,12,96,0.8918,0.9263,0.8716,0.4441,0.9908,0.778,0.8083,0.9901,0.6829
2025-04-11 00:57:00,24,12,0.9572,0.8061,0.7703,0.4631,0.6839,0.8816,0.5274,0.8341,0.3857
2025-04-11 00:57:00,24,12,0.9572,0.8061,0.7703,0.4631,0.6839,0.8816,0.5274,0.8341,0.3857
2025-04-11 01:02:58,24,24,0.9731,0.9289,0.8854,0.3909,0.8367,0.9402,0.7508,0.8975,0.6453
2025-04-11 01:02:58,24,24,0.9731,0.9289,0.8854,0.3909,0.8367,0.9402,0.7508,0.8975,0.6453
2025-04-11 01:08:56,24,36,0.9777,0.9689,0.9305,0.1734,0.9038,0.9588,0.8306,0.9469,0.7398
2025-04-11 01:08:56,24,36,0.9777,0.9689,0.9305,0.1734,0.9038,0.9588,0.8306,0.9469,0.7398
2025-04-11 01:14:54,24,48,0.9685,0.9681,0.9405,0.1988,0.9441,0.9371,0.8586,0.9707,0.7697
2025-04-11 01:14:54,24,48,0.9685,0.9681,0.9405,0.1988,0.9441,0.9371,0.8586,0.9707,0.7697
2025-04-11 01:20:47,24,60,0.9549,0.963,0.935,0.2473,0.9709,0.9017,0.8633,0.9785,0.7724
2025-04-11 01:20:47,24,60,0.9549,0.963,0.935,0.2473,0.9709,0.9017,0.8633,0.9785,0.7724
2025-04-11 01:26:44,24,72,0.9378,0.9532,0.9198,0.2598,0.9838,0.8636,0.8548,0.9845,0.7552
2025-04-11 01:26:44,24,72,0.9378,0.9532,0.9198,0.2598,0.9838,0.8636,0.8548,0.9845,0.7552
2025-04-11 01:32:43,24,84,0.9195,0.9421,0.8977,0.3073,0.987,0.8232,0.8348,0.9858,0.724
2025-04-11 01:32:43,24,84,0.9195,0.9421,0.8977,0.3073,0.987,0.8232,0.8348,0.9858,0.724
2025-04-11 01:38:41,24,96,0.8971,0.9299,0.875,0.3541,0.9885,0.7849,0.8143,0.9834,0.6948
2025-04-11 01:38:41,24,96,0.8971,0.9299,0.875,0.3541,0.9885,0.7849,0.8143,0.9834,0.6948
2025-04-11 01:44:38,36,12,0.9591,0.8054,0.77,0.5011,0.7062,0.8465,0.5092,0.8345,0.3664
2025-04-11 01:44:38,36,12,0.9591,0.8054,0.77,0.5011,0.7062,0.8465,0.5092,0.8345,0.3664
2025-04-11 01:50:37,36,24,0.9734,0.926,0.8864,0.407,0.8374,0.9415,0.7537,0.8839,0.6569
2025-04-11 01:50:37,36,24,0.9734,0.926,0.8864,0.407,0.8374,0.9415,0.7537,0.8839,0.6569
2025-04-11 01:56:37,36,36,0.9788,0.9687,0.9296,0.2067,0.9085,0.9517,0.8281,0.9444,0.7373
2025-04-11 01:56:37,36,36,0.9788,0.9687,0.9296,0.2067,0.9085,0.9517,0.8281,0.9444,0.7373
2025-04-11 02:02:38,36,48,0.9699,0.9668,0.9389,0.1938,0.939,0.9388,0.8587,0.9669,0.7722
2025-04-11 02:02:38,36,48,0.9699,0.9668,0.9389,0.1938,0.939,0.9388,0.8587,0.9669,0.7722
2025-04-11 02:08:39,36,60,0.9605,0.966,0.9348,0.2357,0.9672,0.9046,0.8639,0.9774,0.774
2025-04-11 02:08:39,36,60,0.9605,0.966,0.9348,0.2357,0.9672,0.9046,0.8639,0.9774,0.774
2025-04-11 02:14:37,36,72,0.9391,0.9535,0.9192,0.3784,0.9821,0.8638,0.8533,0.9815,0.7548
2025-04-11 02:14:37,36,72,0.9391,0.9535,0.9192,0.3784,0.9821,0.8638,0.8533,0.9815,0.7548
2025-04-11 02:20:35,36,84,0.9204,0.9423,0.8981,0.3854,0.988,0.8232,0.836,0.9831,0.7272
2025-04-11 02:20:35,36,84,0.9204,0.9423,0.8981,0.3854,0.988,0.8232,0.836,0.9831,0.7272
2025-04-11 02:26:35,36,96,0.8926,0.9275,0.8744,0.5504,0.9911,0.7823,0.8157,0.9819,0.6977
2025-04-11 02:26:35,36,96,0.8926,0.9275,0.8744,0.5504,0.9911,0.7823,0.8157,0.9819,0.6977
2025-04-11 02:32:35,48,12,0.9562,0.787,0.7689,0.4942,0.6895,0.8689,0.5315,0.8215,0.3928
2025-04-11 02:32:35,48,12,0.9562,0.787,0.7689,0.4942,0.6895,0.8689,0.5315,0.8215,0.3928
2025-04-11 02:38:37,48,24,0.9734,0.9263,0.8831,0.3494,0.8255,0.9494,0.7558,0.8745,0.6655
2025-04-11 02:38:37,48,24,0.9734,0.9263,0.8831,0.3494,0.8255,0.9494,0.7558,0.8745,0.6655
2025-04-11 02:44:41,48,36,0.9796,0.9689,0.928,0.205,0.9044,0.9528,0.8335,0.9443,0.746
2025-04-11 02:44:41,48,36,0.9796,0.9689,0.928,0.205,0.9044,0.9528,0.8335,0.9443,0.746
2025-04-11 02:50:44,48,48,0.973,0.9681,0.9393,0.2502,0.9406,0.9381,0.8618,0.966,0.7779
2025-04-11 02:50:44,48,48,0.973,0.9681,0.9393,0.2502,0.9406,0.9381,0.8618,0.966,0.7779
2025-04-11 02:56:48,48,60,0.9609,0.9657,0.9336,0.3225,0.9689,0.9007,0.866,0.9759,0.7783
2025-04-11 02:56:48,48,60,0.9609,0.9657,0.9336,0.3225,0.9689,0.9007,0.866,0.9759,0.7783
2025-04-11 03:02:48,48,72,0.9386,0.9531,0.9194,0.516,0.9847,0.8623,0.8541,0.978,0.758
2025-04-11 03:02:48,48,72,0.9386,0.9531,0.9194,0.516,0.9847,0.8623,0.8541,0.978,0.758
2025-04-11 03:08:49,48,84,0.9189,0.9415,0.898,0.5063,0.9894,0.822,0.8339,0.9809,0.7252
2025-04-11 03:08:49,48,84,0.9189,0.9415,0.898,0.5063,0.9894,0.822,0.8339,0.9809,0.7252
2025-04-11 03:14:50,48,96,0.8907,0.9261,0.8743,0.539,0.9892,0.7833,0.814,0.9781,0.6971
2025-04-11 03:14:50,48,96,0.8907,0.9261,0.8743,0.539,0.9892,0.7833,0.814,0.9781,0.6971
2025-04-11 03:20:51,60,12,0.9569,0.7907,0.7678,0.5216,0.6849,0.8735,0.5521,0.8198,0.4162
2025-04-11 03:20:51,60,12,0.9569,0.7907,0.7678,0.5216,0.6849,0.8735,0.5521,0.8198,0.4162
2025-04-11 03:26:52,60,24,0.9725,0.9252,0.8805,0.4318,0.8366,0.9293,0.7612,0.8754,0.6734
2025-04-11 03:26:52,60,24,0.9725,0.9252,0.8805,0.4318,0.8366,0.9293,0.7612,0.8754,0.6734
2025-04-11 03:32:53,60,36,0.9778,0.9665,0.9252,0.2435,0.9031,0.9484,0.8368,0.9395,0.7544
2025-04-11 03:32:53,60,36,0.9778,0.9665,0.9252,0.2435,0.9031,0.9484,0.8368,0.9395,0.7544
2025-04-11 03:39:02,60,48,0.9723,0.9674,0.9378,0.1989,0.9359,0.9398,0.8667,0.9657,0.786
2025-04-11 03:39:02,60,48,0.9723,0.9674,0.9378,0.1989,0.9359,0.9398,0.8667,0.9657,0.786
2025-04-11 03:45:23,60,60,0.9579,0.9639,0.9321,0.3685,0.9672,0.8994,0.8666,0.974,0.7806
2025-04-11 03:45:23,60,60,0.9579,0.9639,0.9321,0.3685,0.9672,0.8994,0.8666,0.974,0.7806
2025-04-11 03:51:40,60,72,0.937,0.9517,0.9196,0.4618,0.9831,0.8638,0.8527,0.9766,0.7567
2025-04-11 03:51:40,60,72,0.937,0.9517,0.9196,0.4618,0.9831,0.8638,0.8527,0.9766,0.7567
2025-04-11 03:58:01,60,84,0.9165,0.9395,0.8967,0.5015,0.9872,0.8214,0.8332,0.9782,0.7256
2025-04-11 03:58:01,60,84,0.9165,0.9395,0.8967,0.5015,0.9872,0.8214,0.8332,0.9782,0.7256
2025-04-11 04:04:06,60,96,0.8878,0.9247,0.873,0.5193,0.9867,0.7827,0.8129,0.9775,0.6957
2025-04-11 04:04:06,60,96,0.8878,0.9247,0.873,0.5193,0.9867,0.7827,0.8129,0.9775,0.6957
2025-04-16 14:03:23,24,48,0.968,0.9668,0.9402,0.1801,0.9411,0.9393,0.8553,0.9697,0.7651
